Gender,Height,Weight
F,170.18,54.884632
M,177.8,81.64656
M,182.88,104.32616
M,170.18,79.3786
M,174,64
F,157.48,58.96696
F,152.4,48.534344
M,210.82,86.18248
F,182.88,60
M,172.72,72.57472
M,180.34,79.3786
F,160.02,49.89512
F,177.8,58.96696
F,175.26,63.956472
M,177.8,77.11064
M,170,64
M,167.64,64.410064
F,152,59
M,165.1,76.203456
F,172.72,57.152592
