Name,Birds
Banggi,NA
Bangka,172
Borneo,420
Bunguran,71
Java,350
Jemaja,165
Karimata Besar,113
Penebangan,NA
Perhentian Besar,11
Redang,NA
Siantan,NA
Sirhassan,NA
Sumatra,580
Tioman,138
