sn,Justice,Criminal Procedure,Civil Rights,First Amendment,Union,Economic,Federalism,Federal Taxes
1,Anthony Kennedy,0.32,0.42,0.44,0.39,0.44,0.53,0.8
2,Clarence Thomas,0.21,0.24,0.3,0.32,0.4,0.45,0.57
3,Ruth Bader Ginsburg,0.62,0.7,0.69,0.75,0.56,0.59,0.78
4,Stephen Breyer,0.56,0.69,0.51,0.82,0.52,0.65,0.77
5,John Roberts,0.28,0.4,0.33,0.5,0.38,0.69,0.86
6,Samuel Alito,0.2,0.38,0.22,0.44,0.37,0.62,0.86
7,Sonia Sotomayor,0.63,0.64,0.77,0.67,0.51,0.53,1
8,Elena Kagan,0.71,0.62,0.63,1,0.48,0.71,0.5
